name,parent_name
Staré Mesto,Bratislava
Ružinov,Bratislava
Vrakuňa,Bratislava
Podunajské Biskupice,Bratislava
Nové Mesto,Bratislava
Rača,Bratislava
Vajnory,Bratislava
Karlova Ves,Bratislava
Dúbravka,Bratislava
Lamač,Bratislava
Devín,Bratislava
Devínska Nová Ves,Bratislava
Záhorská Bystrica,Bratislava
Petržalka,Bratislava
Jarovce,Bratislava
Rusovce,Bratislava
Čunovo,Bratislava
Centrum,Banská Bystrica
"Podlavice, Skubín, Uľanka, Jakub, Karlovo",Banská Bystrica
"Senica, Šalková, Majer, Uhlisko",Banská Bystrica
"Iliaš, Rakytovce, Kremnička, Podháj",Banská Bystrica
Radvaň,Banská Bystrica
Fončorda,Banská Bystrica
"Sásová, Rudlová",Banská Bystrica
Stred,Trnava
Západ,Trnava
Juh,Trnava
Východ,Trnava
Sever,Trnava
Modranka,Trnava
Želiezovce - mesto,Želiezovce
Mikula,Želiezovce
Svodov,Želiezovce
Jarok,Želiezovce
Karolina,Želiezovce
Rozina,Želiezovce
Veľký Dvor,Želiezovce
Dolné Krškany,Nitra
Horné Krškany,Nitra
Staré Mesto,Nitra
Čermáň,Nitra
Klokočina,Nitra
Párovské Háje,Nitra
Diely,Nitra
Kynek,Nitra
Mlynárce,Nitra
Dražovce,Nitra
Zobor,Nitra
Janíkovce,Nitra
Chrenová,Nitra
Bánová,Žilina
Bôrik,Žilina
Budatín,Žilina
Bytčica,Žilina
Hájik,Žilina
Hliny,Žilina
Mojšová Lúčka,Žilina
Považský Chlmec,Žilina
Rosinky,Žilina
Solinky,Žilina
Staré mesto,Žilina
Strážov,Žilina
Trnové,Žilina
Vlčince,Žilina
Vranie,Žilina
Závodie,Žilina
Žilinská Lehota,Žilina
Zástranie,Žilina
Zádubnie,Žilina
Brodno,Žilina
"Sídlisko 3, Rúrky",Prešov
"Sídlisko 2, Kalvária",Prešov
"Sabinovská, Šidlovec a N. Šebastová",Prešov
Centrum mesta,Prešov
Solivar a Šváby,Prešov
Sekčov a Šalgovík,Prešov
Mesto Šaľa,Šaľa
Veča,Šaľa
osada Hetmín,Šaľa
osada Kilič,Šaľa
Hájniky,Sliač
Rybáre - Stred,Sliač
Rybáre pod kúpeľmi,Sliač
Kúpeľné územie,Sliač
Trebuľa,Sliač
Sampor,Sliač
"Centrum, Dlhá ulica, Piesky",Prievidza
Hradec,Prievidza
Malá Lehôtka,Prievidza
"Necpaly, Žabník",Prievidza
Kopanice,Prievidza
Staré sídlisko,Prievidza
Veľká Lehôtka,Prievidza
Zapotôčky,Prievidza
Novoveská Huta,Spišská Nová Ves
Ferčekovce,Spišská Nová Ves
Sídlisko Mier,Spišská Nová Ves
Sídlisko Západ,Spišská Nová Ves
Sídlisko Tarča a Kozí vrch,Spišská Nová Ves
Mesto - Sever a Telep,Spišská Nová Ves
Mesto Východ a Mesto Juh,Spišská Nová Ves
Trenčín - Juh,Trenčín
Trenčín - Sever,Trenčín
Trenčín - Stred,Trenčín
Trenčín - Západ,Trenčín
Barca,Košice
Dargovských hrdinov,Košice
Džungľa,Košice
Juh,Košice
Kavečany,Košice
Košická Nová Ves,Košice
Krásna,Košice
KVP,Košice
Lorinčík,Košice
Luník IX,Košice
Myslava,Košice
Nad jazerom,Košice
Pereš,Košice
Poľov,Košice
Sever,Košice
Sídlisko Ťahanovce,Košice
Staré mesto,Košice
Šaca,Košice
Šebastovce,Košice
Ťahanovce,Košice
Vyšné Opátske,Košice
Západ,Košice
